feature,importance,rank
feature_0389,0.0149689412905534,62
feature_1954,0.014952484211815208,63
feature_3877,0.01491316461727857,64
feature_3657,0.014842193876614075,65
feature_0813,0.014607510081874197,66
feature_4518,0.014552819777804125,67
feature_1890,0.014535300638107465,68
feature_0993,0.014492197357692492,69
feature_0414,0.014478063575296777,70
feature_1651,0.014458157615180232,71
feature_1294,0.01434650341412053,72
feature_0585,0.013999411049262903,73
feature_0467,0.013907952299034018,74
feature_4343,0.013617328240418653,75
feature_0469,0.013573291827044231,76
feature_1722,0.01354657693974357,77
feature_0819,0.013543148947834257,78
feature_3862,0.013484766469585074,79
feature_1580,0.013474490449387252,80
feature_2765,0.013467722191529485,81
feature_4273,0.01330046131947677,82
feature_0432,0.013168208695752316,83
feature_1721,0.013071616855829077,84
feature_1732,0.013032597280729016,85
feature_4095,0.013004130429107195,86
feature_0468,0.012977643308626457,87
feature_0810,0.012952349904145443,88
feature_4272,0.01284499701442535,89
feature_0413,0.012811242182387429,90
feature_1733,0.012747708766404041,91
feature_0013,0.012661592316421343,92
feature_1723,0.0126570273959679,93
feature_1751,0.012646951896455308,94
feature_0470,0.012632344002704032,95
feature_2232,0.01256084114204336,96
feature_3389,0.01234590255027825,97
feature_1727,0.012261424009765591,98
feature_0396,0.012126155523390905,99
feature_3066,0.012097259835141656,100
feature_2504,0.011931608501053117,101
feature_4267,0.01192653259155044,102
feature_0455,0.011909865846930691,103
feature_2009,0.011888336099759183,104
feature_1724,0.011831728584375334,105
feature_1010,0.011711059199184578,106
feature_0454,0.011676756502178984,107
feature_1708,0.011663601314497011,108
feature_1885,0.01165352927842331,109
feature_0459,0.011579785145746908,110
feature_0930,0.01153299703667383,111
feature_1650,0.011450271690458053,112
feature_3608,0.011333815564778834,113
feature_0897,0.01130790600562501,114
feature_1719,0.01123299775618556,115
feature_0453,0.011210211706732481,116
feature_1889,0.011208940208355512,117
feature_4274,0.011130858910918265,118
feature_3867,0.011121121635595801,119
feature_1052,0.011104444701413767,120
feature_1888,0.011103600305586651,121
feature_1027,0.011021699458744257,122
feature_0474,0.011003853535292426,123
feature_3143,0.011000941228770456,124
feature_1008,0.010993950505032497,125
feature_0996,0.010966061434638564,126
feature_0391,0.010918215669278595,127
feature_0586,0.010852502071297425,128
feature_4339,0.010848707266709686,129
feature_0587,0.010813540200828016,130
feature_4781,0.010805391028485326,131
feature_2410,0.01078095107613486,132
feature_3609,0.010757656016442857,133
feature_3174,0.010668806200724204,134
feature_0410,0.01065458637998532,135
feature_3866,0.010618648262405222,136
feature_1016,0.010598007663834992,137
feature_3878,0.010582474280955694,138
feature_3183,0.010576225511321778,139
feature_4338,0.010559025152274559,140
feature_3182,0.010440281947027605,141
feature_0423,0.01038717562358902,142
feature_0439,0.010363357343353181,143
feature_4571,0.010354096560118433,144
feature_3863,0.010348654903400112,145
feature_2739,0.010282167678395064,146
feature_0382,0.01021813292957934,147
feature_1089,0.010212905251551808,148
feature_1945,0.01020622472840753,149
feature_0149,0.01007893773519049,150
feature_1018,0.010005122567878314,151
feature_3554,0.009972349543645724,152
feature_2600,0.009883742011301879,153
feature_1946,0.00978980160102448,154
feature_2775,0.009785046861068755,155
feature_3869,0.009703873808087939,156
feature_2228,0.009687243333583275,157
feature_1944,0.009636860260674927,158
feature_0431,0.0096343888571948,159
feature_2622,0.00961852205062006,160
